Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,FDH48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.06082,13.5,85.154,4.4
Low Fat,FDZ38,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00805,17.6,173.7422,4.4
Low Fat,DRH39,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.09321,20.7,74.667,4.4
Low Fat,FDK04,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05261,7.36,56.3588,4.4
Low Fat,FDQ16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04197,19.7,108.6912,4.4
Low Fat,FDX20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0428,7.365,228.372,4.4
Low Fat,FDC44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.17357,15.6,114.4518,4.4
Low Fat,DRK23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.07238,8.395,251.504,4.4
Low Fat,DRO47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.11286,10.195,114.486,4.4
Low Fat,DRJ23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0419,18.35,188.1872,4.4
Low Fat,NCL53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03644,7.5,175.3028,4.4
Low Fat,NCI17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.14423,8.645,95.441,4.4
Low Fat,NCL29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.11458,9.695,156.4604,4.4
Low Fat,NCA53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00993,11.395,47.2034,4.4
Low Fat,NCV41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01714,14.35,109.8228,4.4
Low Fat,NCP06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.03947,20.7,151.7366,4.4
Low Fat,FDP39,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.06982,12.65,53.5324,4.4
Low Fat,FDV51,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.03272,16.35,165.7842,4.4
Low Fat,FDL10,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.03972,8.395,100.1042,4.4
Regular,FDT12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.04972,6.215,224.5062,4.4
Regular,FDD26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.0723,8.71,185.6924,4.4
Regular,FDN16,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.06283,12.6,105.099,4.4
Regular,FDG56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0716,13.3,60.8536,4.4
Regular,FDT55,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.04374,13.6,157.7946,4.4
Regular,FDH20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.025,16.1,97.841,4.4
Regular,FDK32,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.04907,16.25,154.2682,4.4
Regular,FDT09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01229,15.15,129.9284,4.4
Regular,FDA47,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.11733,10.5,164.121,4.4
Regular,FDS11,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.05587,7.05,222.1088,4.4
Regular,FDL13,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,0.05664,13.85,233.83,4.4
Regular,FDA04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.06711,11.3,258.1962,4.4
Regular,FDF21,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.05916,10.3,191.553,4.4
Regular,FDR15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03363,9.3,156.1314,4.4
Regular,FDM51,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.02607,11.8,99.8674,4.4
Regular,FDN46,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,7.21,103.1332,4.4
Regular,FDI58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0711,7.64,95.012,4.4
Regular,FDM57,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.07628,11.65,85.1908,4.4
Regular,FDY33,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.09775,14.5,159.7262,4.4
low fat,FDU02,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.10309,13.35,229.9352,4.4
reg,FDD32,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04116,17.7,80.8276,4.4
reg,FDB57,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.01891,20.25,220.5772,4.4
LF,NCP06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03924,20.7,152.8366,4.4
Low Fat,FDV23,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10582,11,126.0046,4.4
Low Fat,FDH38,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01044,6.425,115.5808,4.4
Low Fat,FDX37,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06302,16.2,100.37,4.4
Low Fat,FDN02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07381,16.5,207.2638,4.4
Low Fat,FDU04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00555,7.93,121.5414,4.4
Low Fat,FDX40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,12.85,38.3164,4.4
Low Fat,FDX20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04255,7.365,225.172,4.4
Low Fat,FDX55,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0552,15.1,216.1166,4.4
Low Fat,DRK11,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01076,8.21,149.5392,4.4
Low Fat,DRL23,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0153,18.35,105.2938,4.4
Low Fat,NCN05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01446,8.235,184.795,4.4
Low Fat,NCH43,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.07056,8.42,216.0192,4.4
Low Fat,FDA33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03389,6.48,147.0076,4.4
Low Fat,FDX58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04376,13.15,182.895,4.4
Low Fat,FDA21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03595,13.65,185.2924,4.4
Low Fat,FDG59,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04323,15.85,37.5164,4.4
Regular,FDL12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12161,15.85,60.222,4.4
Regular,FDU37,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10449,9.5,77.896,4.4
Regular,FDE14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03144,13.65,100.07,4.4
Regular,FDB14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.1027,20.25,94.312,4.4
Regular,FDT26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06794,18.85,119.044,4.4
Regular,FDS19,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0642,13.8,75.8012,4.4
Regular,FDH31,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02041,12,99.9042,4.4
Regular,FDO15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00856,16.75,73.2038,4.4
Regular,FDG34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03756,11.5,109.5254,4.4
Regular,FDH47,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.12879,13.5,95.4068,4.4
reg,FDL38,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01473,13.8,90.9172,4.4
LF,DRL60,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.04529,8.52,153.5682,4.4
Low Fat,FDK38,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.0892,6.65,147.0734,4.4
Low Fat,FDR02,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.03693,16.7,109.1886,4.4
Low Fat,DRI51,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.0707,17.25,170.3764,4.4
Low Fat,FDC41,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.19569,15.6,77.367,4.4
Low Fat,NCM05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.10017,6.825,262.7226,4.4
Low Fat,NCI29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.0546,8.6,141.1154,4.4
Low Fat,NCR53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.24277,12.15,226.5404,4.4
Low Fat,NCF06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.03381,6.235,258.9962,4.4
Low Fat,NCV42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.05259,6.26,111.0228,4.4
Low Fat,NCU54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.16507,8.88,207.727,4.4
Low Fat,NCK18,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.01121,9.6,166.9184,4.4
Low Fat,NCC30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.04616,16.6,176.6344,4.4
Low Fat,NCF42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.28016,17.35,177.5712,4.4
Low Fat,FDP15,Meat,2011,OUT010,Tier 3,High,Grocery Store,0,15.2,256.033,4.4
Low Fat,DRB25,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.11626,12.3,107.0938,4.4
Regular,FDM02,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.12342,12.5,86.0198,4.4
Regular,FDA01,Canned,2011,OUT010,Tier 3,High,Grocery Store,0.09102,15,60.2904,4.4
Regular,FDI16,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.22726,14,54.364,4.4
Regular,FDV28,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.26735,16.1,34.9558,4.4
Regular,FDF08,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.10914,14.3,88.2856,4.4
Regular,FDW51,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.15844,6.155,213.756,4.4
Regular,FDB58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.02259,10.5,140.6154,4.4
reg,FDZ59,Baking Goods,2011,OUT010,Tier 3,Small,Grocery Store,0.17411,6.63,166.85,4.4
LF,FDK36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.00721,7.09,48.1034,4.4
LF,FDZ27,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.01714,7.935,50.035,4.4
Low Fat,FDS48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.02776,15.15,150.4708,4.4
Low Fat,FDC02,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.06877,21.35,260.4278,4.4
Low Fat,FDI15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.14123,13.8,263.7884,4.4
Low Fat,DRJ39,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0363,20.25,217.5482,4.4
Low Fat,FDT40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.09572,5.985,125.8678,4.4
Low Fat,FDE29,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.14301,8.905,61.6878,4.4
Low Fat,FDT28,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.06351,13.3,149.9708,4.4
Low Fat,FDK41,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12744,14.3,86.8224,4.4
Low Fat,FDE45,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04032,12.1,180.0002,4.4
Low Fat,FDZ20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.03428,16.1,255.2356,4.4
Low Fat,FDT31,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.01244,19.75,189.9872,4.4
Low Fat,FDP20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04563,19.85,128.102,4.4
Low Fat,DRM59,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.00359,5.88,155.5998,4.4
Low Fat,DRL35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.03068,15.7,44.777,4.4
Low Fat,DRP35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.09079,18.85,127.1336,4.4
Low Fat,NCU17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0,5.32,101.7674,4.4
Low Fat,NCU53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.04272,5.485,164.8842,4.4
Low Fat,NCT05,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.02093,10.895,256.5672,4.4
Low Fat,NCC19,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0968,6.57,192.382,4.4
Low Fat,NCV54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.03308,11.1,116.5124,4.4
Low Fat,NCF19,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.03508,13,47.9034,4.4
Low Fat,NCE30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.09905,16,212.6902,4.4
Low Fat,NCG19,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.14781,20.25,234.8616,4.4
Low Fat,FDT21,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.02037,7.42,248.0092,4.4
Low Fat,FDT57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.01902,15.2,238.7248,4.4
Low Fat,FDP46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.07455,15.35,91.883,4.4
Low Fat,FDZ09,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.10479,17.6,165.2868,4.4
Low Fat,DRF13,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0,12.1,145.1444,4.4
Low Fat,DRG36,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.0953,14.15,171.8106,4.4
Regular,FDJ12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03901,8.895,209.0296,4.4
Regular,FDZ49,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.13303,11,222.0798,4.4
Regular,FDW52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03749,14,164.2526,4.4
Regular,FDY16,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.09215,18.35,184.8266,4.4
Regular,FDZ43,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.05701,11,241.9512,4.4
Regular,FDE33,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.04959,19.35,77.0644,4.4
Regular,FDU43,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0,19.35,238.6564,4.4
Regular,FDU51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.09643,20.2,178.5028,4.4
Regular,FDW21,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.00596,5.34,101.6358,4.4
Regular,FDI21,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.05656,5.59,62.6168,4.4
Regular,FDI58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.07065,7.64,91.212,4.4
Regular,FDJ21,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0385,16.7,147.5102,4.4
low fat,NCJ29,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.03516,10.6,84.4224,4.4
reg,FDW09,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0259,13.65,81.1302,4.4
LF,FDB45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02142,20.85,104.6306,4.4
Low Fat,FDO37,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,8.06,232.7326,4.4
Low Fat,FDO25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.12797,6.3,209.627,4.4
Low Fat,FDY25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03411,12,180.1976,4.4
Low Fat,FDX02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05729,16,224.3404,4.4
Low Fat,FDK16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1158,9.065,95.3094,4.4
Low Fat,FDB08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03123,6.055,160.3578,4.4
Low Fat,FDS55,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,7.02,148.1734,4.4
Low Fat,FDU55,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03606,16.2,260.3278,4.4
Low Fat,NCH42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03669,6.86,229.601,4.4
Low Fat,NCO02,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07367,11.15,66.2142,4.4
Low Fat,FDK22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02619,9.8,215.685,4.4
Low Fat,FDC58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04211,10.195,42.5428,4.4
Low Fat,FDP58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.13569,11.1,220.0482,4.4
Regular,FDV48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05183,9.195,77.4644,4.4
Regular,FDK60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.09425,16.5,98.9068,4.4
Regular,FDS59,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04407,14.8,109.057,4.4
Regular,FDN25,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06142,7.895,57.7588,4.4
Regular,FDG38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,8.975,84.9224,4.4
Regular,FDM02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.07404,12.5,87.9198,4.4
Regular,FDY28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.15277,7.47,214.4218,4.4
Regular,FDT16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04886,9.895,260.2278,4.4
Regular,FDQ40,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.03617,11.1,176.0712,4.4
Regular,FDU28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0943,19.2,187.5214,4.4
Regular,FDC57,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.05482,20.1,194.282,4.4
Regular,FDN46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14522,7.21,103.1332,4.4
Regular,FDT10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0623,16.7,60.6562,4.4
low fat,FDZ33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.10783,10.195,146.5076,4.4
LF,NCJ05,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04587,,152.3682,4.4
Low Fat,FDN01,Breakfast,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.07205,,177.937,4.4
Low Fat,FDC02,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.06849,,259.3278,4.4
Low Fat,FDS01,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01766,,175.9686,4.4
Low Fat,DRI39,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.09659,,54.893,4.4
Low Fat,FDB53,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.13878,,147.5392,4.4
Low Fat,FDI28,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02619,,79.0302,4.4
Low Fat,FDL04,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.11138,,106.7622,4.4
Low Fat,DRJ59,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,,39.0164,4.4
Low Fat,DRL35,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03055,,41.877,4.4
Low Fat,NCI29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03246,,139.9154,4.4
Low Fat,NCK29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,,125.173,4.4
Low Fat,NCM05,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05956,,263.7226,4.4
Low Fat,NCO29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0321,,164.1526,4.4
Low Fat,NCP17,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02758,,62.2168,4.4
Low Fat,NCE42,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01055,,234.9958,4.4
Low Fat,NCI42,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01032,,208.4954,4.4
Low Fat,NCQ54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01248,,168.3474,4.4
Low Fat,FDV45,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04483,,187.4556,4.4
Regular,FDO49,Breakfast,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03289,,49.3008,4.4
Regular,FDB02,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02902,,177.837,4.4
Regular,FDE51,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.096,,43.7086,4.4
Regular,FDR19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.15895,,145.5102,4.4
Regular,FDR31,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04892,,147.4102,4.4
Regular,FDT07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.07694,,257.133,4.4
Regular,FDI07,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0336,,197.2426,4.4
Regular,FDU28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.09445,19.2,187.8214,4.3
Low Fat,DRI11,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03424,,113.2834,4.3
Regular,FDE51,Dairy,2011,OUT010,Tier 3,Small,Grocery Store,0.16147,5.925,45.5086,4.3
Low Fat,FDU02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10251,13.35,230.6352,4.3
Low Fat,FDA46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11782,13.6,192.9136,4.3
Low Fat,FDF09,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01209,,38.2848,4.3
Regular,FDL12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12153,15.85,59.222,4.3
Low Fat,FDQ10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03323,12.85,172.3422,4.3
Regular,FDZ16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.16076,16.85,192.4478,4.3
Low Fat,FDY25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03381,,180.5976,4.3
reg,FDR28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026,13.85,161.521,4.3
Low Fat,FDX20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04256,7.365,226.172,4.3
Low Fat,DRF49,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07108,7.27,114.2518,4.3
Regular,DRL01,Soft Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.07761,19.5,233.4958,4.3
Regular,FDB35,Starchy Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06475,12.3,92.6804,4.3
Low Fat,NCN55,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05958,14.6,238.8538,4.3
Low Fat,FDG52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06573,13.65,45.7402,4.3
Regular,FDR44,Fruits and Vegetables,2011,OUT010,Tier 3,Small,Grocery Store,0,6.11,131.2968,4.3
Low Fat,FDX15,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.15617,17.2,160.6578,4.3
Low Fat,DRJ13,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.06284,12.65,161.5578,4.3
Low Fat,FDF14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.02716,7.55,152.334,4.3
Regular,FDU44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05841,12.15,163.4552,4.3
Regular,FDT39,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.00987,6.26,151.1366,4.3
Low Fat,FDE08,Fruits and Vegetables,2011,OUT010,Tier 3,Small,Grocery Store,0.08255,18.2,147.3734,4.3
Regular,FDV60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.11679,,196.211,4.3
Low Fat,NCQ54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.01254,17.7,167.0474,4.3
Low Fat,FDX19,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09672,19.1,235.0958,4.3
Regular,FDS33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12343,6.67,89.1514,4.3
Low Fat,DRQ35,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04209,,122.4388,4.3
Low Fat,DRI37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.10777,15.85,59.5904,4.3
Regular,FDU09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0667,7.71,55.2956,4.3
Regular,FDH26,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0347,19.25,141.7496,4.3
Regular,FDL51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04768,20.7,212.5876,4.3
Low Fat,NCA54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03672,16.5,180.0318,4.3
Low Fat,FDB34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0266,15.25,86.2198,4.3
Low Fat,FDT57,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.03186,15.2,235.1248,4.3
Low Fat,NCE19,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0932,8.97,52.7956,4.3
Low Fat,FDZ38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00803,17.6,174.2422,4.3
Regular,FDF10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.15717,15.5,149.1418,4.3
